"","h0","sigma","beta","SE.h0","SE.sigma","SE.beta","N","SE.N","h0.nomem","sigma.nomem","SE.h0.nomem","SE.sigma.nomem","N.nomem","SE.N.nomem","n","true.tau","time.memory","time.no.memory"
"6",0.133030143132972,-1.37281001861469,5.34676249816764,0.0953542781048022,0.0907281289005873,0.665262915062225,14.2560808984659,2.94354110547594,-0.117005631575669,-1.35414247458281,0.0996127407786956,0.0975512993713318,14.5682305409065,3.0654814652492,9,0,4048.75557398796,232.109151124954
"7",0.0500057030360037,-1.55423802521696,5.7876246207616,0.0922529827276953,0.0766689183787671,1.41144535663586,17.5444047775816,3.68262832677284,-0.152507199346664,-1.50313137776947,0.0994353017540308,0.0832394148268289,17.5446956664666,3.69019794487765,10,0,48.8341597000758,43.7749333182971
"8",1.27620470644866,-0.830241362803165,2.36356731199972,0.157082031706536,0.0707802799963491,0.163933291829858,12.1475720230682,1.14237593429424,1.45007145414711,-1.07965770888026,0.227935300185638,0.0895831627902565,13.2082089208509,1.65576877117883,11,0,838.484053850174,16.994430065155
"9",1.68019870253958,-1.14965975881424,2.75530042062954,0.232766068344723,0.083722540698122,0.133109925013078,15.8031264399782,1.8831135239326,-0.115133561319387,-1.32401634804719,0.125520231387448,0.0912137446789387,20.7184335144976,3.59439990247669,13,0,80.9601008892059,22.5022149085999
"10",0.0418956087536761,-1.42196517563351,4.56961983499987,0.099250372719436,0.115715809386366,0.512193866091257,18.0633076988412,3.55531091940142,-0.160523887355977,-1.45018360777053,0.108528055144445,0.124680568254541,18.8043460548135,3.82500869395075,11,0,50.3221640586853,17.3956670761108
"11",-0.0321175716446442,-1.03913695760979,7.73103606336662,0.149026140322812,0.103938328838853,141.430154189412,15.0405165964827,2.43812473837381,-0.296133422000457,-1.18058584889062,0.148149566259824,0.118838049365946,16.6900203370336,3.0562479872272,11,0,55.207249879837,13.9906530380249
"12",-0.0474365049397418,-1.27484485248053,5.12856186615564,0.124893682320968,0.0899903641869848,0.510504772109864,15.4124582666932,2.94876942652279,-0.1893832134768,-1.2926218096903,0.131020521576054,0.0975227534888536,15.8363365682891,3.11263163418628,10,0,54.5878021717072,15.0679490566254
"13",0.212426579850315,-1.32598085304714,4.39007945058061,0.0916038181065271,0.0690715784950722,0.523924293037731,24.5195424111242,3.67688150491292,0.146555574312633,-1.35295545846221,0.102969642568474,0.0740086024684551,25.0504783756009,3.83590359357996,16,0,97.6570751667023,28.5955100059509
"14",0.199806116358607,-1.36737720419544,5.62901423168844,0.0924358963377878,0.0693733186897022,1.83694457243513,26.6410246395752,3.96854256545034,0.0116233905451058,-1.31901448934417,0.0874844727249995,0.0721792149735436,26.5969364539659,3.96354970959402,17,0,118.131855964661,30.1022510528564
"15",0.198749438648602,-1.23813681119712,4.65845852175167,0.107505258843976,0.0847060321948074,0.493085460663092,17.6235166343877,2.93599261983923,-0.0107196627405407,-1.20376574539802,0.116871460733092,0.088555242655216,17.7626977470052,2.99038881456608,12,0,83.6572859287262,23.0770208835602
